gene_symbol,ANEUPLOIDY_SCORE_rho,ANEUPLOIDY_SCORE_pval,FRACTION_GENOME_ALTERED_rho,FRACTION_GENOME_ALTERED_pval,n_samples
JARID2,0.06219597997692878,0.430276811671441,0.04664965479256294,0.5445950577296889,171
CABLES1,0.062125242833651874,0.4308024169293938,0.1816618557023005,0.017409949936069723,171
PRAM1,0.062097502777464855,0.43100863732261696,-0.32896196568151315,1.1175576879831048e-05,171
GP1BA,0.061979029805681755,0.43189000703167896,-0.3205327593122241,1.9192175642855365e-05,171
CPSF1,0.06170220697679974,0.4339534348574694,0.13265541834992808,0.0836975239852157,171
RFX5,0.061685562943087524,0.43407767853550916,-0.17536670228643464,0.021778693293135365,171
HUWE1,0.061685562943087524,0.43407767853550916,0.12184709833149429,0.11237860809962728,171
JPH1,0.06152744462282148,0.4352590086836104,0.07149667092464804,0.35274776287913495,171
ZSCAN29,0.06108499072663844,0.43857440983338747,-0.1418017506670706,0.06430523186605204,171
STOML2,0.061051702659214,0.4388244246172788,0.16556517481773617,0.0304548279436584,171
SPN,0.06072575699901646,0.44127676826090817,-0.5159109822588243,5.142160648698116e-13,171
PRPSAP2,0.060692468931592025,0.44152765732006194,0.008948333782331622,0.9075267593917793,171
SMCHD1,0.06047887049895193,0.4431394531246621,-0.06351193001172935,0.40921931609736983,171
DOT1L,0.06030826915340173,0.4444291860154423,0.020475448481684925,0.7903815035361753,171
PLEKHF2,0.060121023774139325,0.4458471859514577,-0.14768170715539364,0.05390398051895712,171
ZNF497,0.060001741532535104,0.446751834078554,0.09079012815306803,0.23761554702263907,171
TRPS1,0.05976040304370799,0.44858532947294866,-0.0006167954357138867,0.9936118144407609,171
ARHGAP39,0.05974237200718642,0.4487224844538103,0.14651051582220928,0.055856619071376123,171
DLGAP4,0.05937759026832704,0.4515022944049742,0.06934148687300963,0.36748614816658615,171
USP31,0.05855509760238175,0.4578053513905638,0.1700543415979028,0.026171290148943514,171
MARCKS,0.05847326443663003,0.4584351327920633,-0.16730876191519198,0.02872502638036916,171
DGUOK,0.0582208299253281,0.46038087720745474,0.21114083755784008,0.005569662629331539,171
WDR81,0.05746352639142232,0.46624547914317965,-0.2615380646183689,0.0005496594326641598,171
CGN,0.057154224764936985,0.46865249383306723,0.12109350390809288,0.11463452946591783,171
PHKA2,0.056872663194638684,0.4708495434738853,0.07995420833887269,0.29855666100230893,171
ATP11C,0.05679221703169631,0.47147830463986706,-0.005164761780763752,0.9465473898318405,171
PKP2,0.05676586397831865,0.47168437781822076,0.2167555960086286,0.004405142196430602,171
USP54,0.05661745467771805,0.47284581321470764,0.2236663448690883,0.003274579532105137,171
STMN1,0.05652452548949152,0.4735738603601784,0.24660417512914845,0.0011480569049280923,171
CEP128,0.05583241108762525,0.4790153456237777,-0.2139680166367154,0.004952732889567721,171
EIF4EBP2,0.05563268268307867,0.4805918981380672,0.057694373061649734,0.4535300973379268,171
CARD11,0.05552310946113992,0.4814580006032028,-0.5214309414111274,2.6256424581407485e-13,171
OSBPL11,0.055463468340337815,0.48192977689714506,-0.03139296769204473,0.6835630884126325,171
BORCS6,0.0553275420650214,0.48300591805239673,-0.2364246504576292,0.0018504849245347954,171
ERMP1,0.054751935899140625,0.48757734148874277,0.12001111191779341,0.11793632399032533,171
ZC3H13,0.054695068783957225,0.4880302284088797,-0.050878423499675265,0.508695672120251,171
SNX3,0.05465623270529539,0.48833964617102565,-0.06938108657997182,0.36721196030603553,171
TRIM3,0.05446205231198621,0.48988830557277846,-0.03800251878136786,0.6216728997764053,171
COPB1,0.05429006396362666,0.4912621584586007,-0.029534181447062612,0.701378352705,171
ARHGEF2,0.05380461298035372,0.4951510017927542,0.13923016969676932,0.0693438374763232,171
TPGS1,0.05379490396068826,0.49522894448107896,-0.06833709430551445,0.37448275867633013,171
GCC2,0.05335106306169586,0.4987989602719247,-0.0021443841315578124,0.9777930981535002,171
AKAP12,0.05321929779480749,0.49986141128946426,-0.14251454539238978,0.06296291762052368,171
INF2,0.05291554417955957,0.5023151661917807,0.05583918679002781,0.4682050497472849,171
FLNC,0.05280597095762082,0.5032018570807401,-0.040851297700404375,0.5957629518019905,171
GARNL3,0.05270471975253818,0.5040219319113312,0.19074338849895944,0.012454916513235312,171
